Cod. Material;Material ;Qtd. / Serial 
30051100;BRACO C AC 13,8KV;77
30051106;BRACO L FOFO NOD 15KV;29
30052557;CANTONEIRA RET AC RDC;89
30052558;CANTONEIRA SUPORTE AUX RDC ACO CARB;69
30053053;CHAVE FUSIVEL POLIM 15KV 110KV 300A;209
10051443;CHAVE SEC FACA 15KV 630A POLIM;6
30054575;CRUZETA P/POSTE AC 1010/20 2,4M;14
30054576;CRUZETA P/POSTE AC 1010/20 2,8M;14
30054577;CRUZETA P/POSTE AC 1010/20 2M;220
30054580;CRUZETA P/POSTE FB VD 2,4M 90MM 90MM;2
30054579;CRUZETA P/POSTE FB VD 2M 90MM 90MM;101
30054583;CRUZETA P/POSTE FB VD 3,92M 90X90MM;2
30054582;CRUZETA P/POSTE FV PES 2,8M 90MM 112,5MM;4
30058369;PARA-RAIO 12KV 10KA S/CENT ZNO;329
